dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
streamspot,minus_consistency_regularization,11,0.6605293440736478,0.5300800000000001,0.8888888888888888,0.0023836903274059,1.0,1.0,0.0192134615001577
streamspot,minus_consistency_regularization,22,0.6613272311212814,0.375664,0.8888888888888888,0.0105281984433531,1.0,0.9999885559082032,0.0191271930000311
streamspot,minus_consistency_regularization,33,0.6621160409556314,0.513312,0.8888888888888888,0.0,1.0,0.999990463256836,0.0369144910000613
streamspot,minus_consistency_regularization,44,0.6968911917098446,0.505792,0.7272727272727273,0.0,1.0,0.9999961853027344,0.0374892449999606
streamspot,minus_consistency_regularization,55,0.662883087400681,0.460736,0.5714285714285714,0.0160350110381841,1.0,0.9999974966049194,0.0438834154999767
streamspot,minus_consistency_regularization,66,0.6636363636363637,0.531696,0.7272727272727273,0.0,1.0,0.9999927282333374,0.0395966474998203
streamspot,minus_consistency_regularization,77,0.662883087400681,0.53272,0.0,0.0104013169184327,1.0,1.0,0.0424440949996096
streamspot,minus_consistency_regularization,88,0.6643835616438356,0.515488,0.8888888888888888,0.0083709172904491,1.0,0.999997079372406,0.0434265290000439
streamspot,minus_consistency_regularization,99,0.662883087400681,0.423872,0.6666666666666666,0.004325236659497,1.0,0.9999966621398926,0.0241320640002413
streamspot,minus_consistency_regularization,110,0.6605293440736478,0.5660959999999999,0.7272727272727273,0.0125732384622097,1.0,1.0,0.0218997709998802
streamspot,minus_prototype_learning,11,0.6605293440736478,0.458688,0.8888888888888888,0.0170458666980266,1.0,1.0,0.0247353115000805
streamspot,minus_prototype_learning,22,0.6597701149425287,0.374608,0.8888888888888888,0.0078114639036357,1.0,0.9999867081642152,0.020980501500162
streamspot,minus_prototype_learning,33,0.6682297772567409,0.508032,0.8888888888888888,0.0,1.0,0.999989688396454,0.0229002999999465
streamspot,minus_prototype_learning,44,0.672544080604534,0.543312,0.8,0.000246306444751,1.0,0.999996542930603,0.0358535034997657
streamspot,minus_prototype_learning,55,0.664391353811149,0.482672,0.8888888888888888,0.0313442647457122,1.0,0.9999979138374328,0.0374771620004139
streamspot,minus_prototype_learning,66,0.6579261025029798,0.5259360000000001,0.7272727272727273,0.0,1.0,1.0,0.0348240174998863
streamspot,minus_prototype_learning,77,0.662883087400681,0.521872,0.8,0.0181696042418479,1.0,1.0,0.0202689550001196
streamspot,minus_prototype_learning,88,0.6651428571428571,0.5029119999999999,0.8888888888888888,0.005301650147885,1.0,1.0,0.0220226670003285
streamspot,minus_prototype_learning,99,0.662883087400681,0.434752,0.6666666666666666,0.0054833684116601,1.0,0.9999984502792358,0.0203744095001638
streamspot,minus_prototype_learning,110,0.6605293440736478,0.560032,0.6666666666666666,0.0159301087260246,1.0,1.0,0.0212587540004278
